artist,artist_id
Joan Of Arc,6U9PwS3WsiKBVewf7wtwIZ
Joan of Arc,6U9PwS3WsiKBVewf7wtwIZ
Joe Dassin,64LCTpIu9Iji2EPaxxPpxF
Joe Strummer & The Mescaleros,2j0a6SKKTAXaaNWU3pl86d
John Hartford,0NAr5zThPfMx26ISgooQK6
Journey,0rvjqX7ttXeg3mTy8Xscbt
Joy Division,432R46LaYsJZV2Gmc4jUV5
Joyce Manor,7qbvNcfTfckhCNM8NiR8nN
Jun Senoue,04jFPnV89o5zz9qix9wAVZ
Justin Stander,0P8lQGYR8DfcZZD4sIwYby
Jónsi,3khg8RDB6nMuw34w1IHS6Y
Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Kara's Walk Home,28qhJvyM80UtYjRsJ7Rq30
Karen O and the Kids,
Karsh Kale,5KNQvpxpsSUsL8Mon7SjYn
Keigo Hoashi,6etnlXYPJeICat7OqRHCV7
Keigo Hoashi & Kakeru Ishihama,
Keigo Hoashi & Keiichi Okabe,
Keiichi Okabe,337qoZEXlR0f7dRKDItg3T
Keiichi Okabe & Emi Evans,
Keiichi Okabe & J'Nique Nicole,
Keiichi Okabe & Keigo Hoashi,
Keiichi Okabe & Marina Kawano,
Keiichi Okabe & YoRHa,
Keiko Utoku,522EjqfzfK5u58yKNNGFN2
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
Kenichi Tokoi,1Y73QxsnDJIhoyNZoB9B9L
Kero Kero Bonito,6OqhFYFJDnBBHas02HopPT
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu
King Krule,4wyNyxs74Ux8UIDopNjIai
Kinks,1SQRv42e4PjEYfPhS0Tk9E
Kittyhawk,4BruyirCQvTlKJqacXO0bl
Klaxons,2qlAMLpUyBjZgnzuFXXZXI
Kommisar,2MBPN5bL4Dgon5nQZlQNY2
Krewella,0Cd6nHYwecCNM1sVEXKlYr
Kris Davis,2AFYG90qx36vqWXgGxhFWY
Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82
Kuniyuki Takahashi & Kakeru Ishihama,
Kuniyuki Takahashi & Keiichi Okabe,
L-vis 1990,3Av5YRDWBegMumHlMOIa91
La Dispute,7lQKE6HaKQcCsgLRMhsh5W
Laura Shigihara,2RnGA202UcoKq6KjzQCbNR
Led Zeppelin,36QJpDe2go2KgaRleHCDTp
Letting Up Despite Great Faults,0xTjrY68V2oc6mOUKXBvv8
Life Companions,
Light Club,0BTBDQqebrX91VYR7tn0d8
Lightspeed Champion,0Kznf00rXvzkXOoAobg59I
Linda Ronstadt,1sXbwvCQLGZnaH0Jp2HTVc
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
Lions,6fcTRFpz0yH79qSKfof7lp
LipPi Sound,
Lit,5mgr0FFpvy267wKVAYg8qp
Literature,6xcmv5tyBSILlWarSNbemC
Little Boots,0MoXIHcFwhIWnFgBfdvQ30
Live,3SgHzT552wy2W8pNLaLk24
Local H,415JrPfN7ukaTu8JV8BLE8
Long Knives,1UUMFqnrwbG8kG8019fmVd
Lotus Plaza,4o1mf6VhPYeSoQkMcfB0HG
Louis Leerink,
Lower Definition,1tTDgYGfcL19c6MiP3tPue
Lowercase Noises,7trvyUUXmPhi1StCNYHj4e
Luciana Souza/Romero Lubambo,
Lucky Boys Confusion,2HMtMLKEIOoamQysJlFP7i
LudoWic,4iH5e8eV3hGNCzhFwr1cND
Lush,5oAjLXTvB7VDWn3Up9LYcQ
Lyn,1A6WCseWiK22oxqodg7vcy
M.I.A.,0QJIPDAEDILuo8AIq3pMuU
M.O.O.N.,32WVWWnT6WgHhbCaJI9gjW
M83,63MQldklfxkjYDoUE4Tppz
MACINTOSH PLUS,5Cbbkc6PaWpseWAAp1qU5a
MGMT,0SwO7SWeDHJijQ3XNS7xEE
MINMI,151w10AZKmL4a6iPwgxap3
MINMI & Nujabes,
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Magic Sword,6PzFRXjgGHQw6K4WeERMK1
Magna,70Dq7XQ95jLPUfMoVbcnuS
Mago de Oz,5ZNxiPcbKgaNcBrERMpqeu
Maps & Atlases,572aBw8LAuVMk47tfozZZr
Massive Attack,6FXMGgJwohJLUSr5nVlf9X
Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1
